MMSI,TIMESTAMP_UTC,LON,LAT,SPEED_KNOTSx10,COURSE,HEADING,SHIP_ID,STATUS,LENGTH,WIDTH,GRT,DWT,DRAUGHTx10,V15,V16,V17,V18,angle,min_dist,depth_lon,depth_lat,depth_dep
276829000,1485694649,24.905069,60.02447900000001,26.5,3,2,4691590,0,212,30.6,49134,6080,6.6,253,126,1855.602,1764.0041397536,260.5438377488636,1339.5071737345568,24.88125,60.022916666666696,-9.26299953460693
276829000,1485694773,24.902981,60.03963100000001,26.7,348,347,4691590,0,212,30.6,49134,6080,6.6,253,124,1838.9944,1688.9165571984101,267.3600581779144,1740.2285828189586,24.872916666666697,60.0354166666667,-9.48499965667725
276829000,1485716301,24.90387,60.041199,26.9,342,340,4691590,0,212,30.6,49134,6080,6.6,258,123,1836.9066,1690.7689407713099,269.536684023111,1841.5588764074544,24.872916666666697,60.0354166666667,-9.48499965667725
276829000,1485716792,24.899379999999997,60.095569999999995,18.4,8,7,4691590,0,212,30.6,49134,6080,6.6,258,123,1295.3376,1272.4544982953098,256.2281428869492,1716.289584910449,24.86875,60.09375,-9.89200019836426
276829000,1485764166,24.899879000000002,60.0975,18.3,7,7,4691590,0,212,30.6,49134,6080,6.6,284,126,1320.4044,1255.35097757164,264.54892503322645,1732.4957561099868,24.86875,60.0979166666667,-9.97999954223633
276829000,1485782281,24.906481,60.031929000000005,26.8,352,350,4691590,0,212,30.6,49134,6080,6.6,287,124,1845.4176,1682.37181719453,261.780659772259,1725.5569227284432,24.877083333333303,60.0270833333333,-9.09899997711182
276829000,1485782770,24.898029,60.08871800000001,22.2,7,5,4691590,0,212,30.6,49134,6080,6.6,287,122,1524.9512,1480.11960982781,284.001135885218,1723.0276933748216,24.86875,60.09375,-9.89200019836426
276829000,1485802497,24.903419,60.039398,25.7,344,341,4691590,0,212,30.6,49134,6080,6.9,291,184,2633.5184,2410.70600258725,274.3902743814788,1757.0215394614747,24.872916666666697,60.0354166666667,-9.48499965667725
276829000,1485803051,24.89912,60.094898,17.9,8,6,4691590,0,212,30.6,49134,6080,6.9,291,125,1284.025,1221.42538783578,259.6846756489432,1694.6533063205331,24.86875,60.09375,-9.89200019836426
276829000,1485849395,24.9076,60.023788,25.8,0,359,4691590,0,212,30.6,49134,6080,6.9,316,126,1809.9144,1772.99294181692,267.23132190767103,1472.4971981623924,24.88125,60.022916666666696,-9.26299953460693
276829000,1485850025,24.89913,60.094668999999996,18.5,7,6,4691590,0,212,30.6,49134,6080,6.9,316,122,1291.126,1256.31964164225,260.5468979946654,1693.480084460791,24.86875,60.09375,-9.89200019836426
276829000,1485878024,24.906321,60.03281,27.4,350,349,4691590,0,212,30.6,49134,6080,6.9,327,184,2795.5488,2565.5363999260103,259.63585794702453,1750.4092781957406,24.877083333333303,60.0270833333333,-9.09899997711182
276829000,1485931828,24.907721,60.0242,25.9,0,359,4691590,0,212,30.6,49134,6080,7.0,358,126,1816.4412,1767.6283310050799,265.47862355374826,1482.940419744374,24.88125,60.022916666666696,-9.26299953460693
276829000,1485931955,24.903179,60.039829000000005,27.6,342,342,4691590,0,212,30.6,49134,6080,7.0,358,127,1942.6936,1756.1895705612899,271.7644630651009,1756.8972239285488,24.872916666666697,60.0354166666667,-9.48499965667725
276829000,1485932460,24.899599,60.096320999999996,19.0,8,7,4691590,0,212,30.6,49134,6080,7.0,358,126,1366.092,1361.7071725852802,268.9270588494512,1725.5092048811282,24.86875,60.0979166666667,-9.97999954223633
276829000,1485953746,24.901899,60.02323199999999,26.4,4,4,4691590,0,212,30.6,49134,6080,7.0,363,184,2700.2368,2507.18166211301,264.2612640668717,1151.9476281046077,24.88125,60.022916666666696,-9.26299953460693
276829000,1485954422,24.899770999999998,60.09465,18.0,4,4,4691590,0,212,30.6,49134,6080,7.0,363,132,1362.7679999999998,1335.95290760149,262.68865995338354,1728.958672866362,24.86875,60.09375,-9.89200019836426
276829000,1485975176,24.90663,60.025452,26.2,354,354,4691590,0,212,30.6,49134,6080,7.0,367,193,2812.3188,2733.24322755084,264.72308552255316,1443.0853211579117,24.88125,60.022916666666696,-9.26299953460693
276829000,1486018792,24.90638,60.028881000000005,24.4,346,346,4691590,0,212,30.6,49134,6080,6.5,389,180,2455.056,2241.34960535625,258.63812065017834,1550.744061783863,24.88125,60.022916666666696,-9.26299953460693
276829000,1486019346,24.898670000000003,60.08951999999999,21.1,3,2,4691590,0,212,30.6,49134,6080,6.5,389,124,1479.2952,1427.9118340102802,283.8179562087285,1730.3333175933876,24.86875,60.09375,-9.89200019836426
276829000,1486105244,24.900801,60.038651,26.0,352,351,4691590,0,212,30.6,49134,6080,6.5,418,187,2705.5159999999996,2467.23341135064,265.958553128351,1595.433310890215,24.872916666666697,60.0354166666667,-9.48499965667725
276829000,1486105808,24.899770999999998,60.097279,16.7,4,3,4691590,0,212,30.6,49134,6080,6.5,418,122,1177.3732,1128.22184637513,269.3706783960132,1727.3325065849845,24.86875,60.0979166666667,-9.97999954223633
276829000,1486126768,24.901999999999997,60.021671,25.7,0,0,4691590,0,212,30.6,49134,6080,6.5,422,122,1746.1372,1610.6983797536402,276.8485645637333,1165.3642624026968,24.88125,60.022916666666696,-9.26299953460693
276829000,1486126892,24.90073,60.03628199999999,25.7,353,353,4691590,0,212,30.6,49134,6080,6.5,422,124,1774.7624,1626.30032105476,273.45355936743374,1553.2994548306847,24.872916666666697,60.0354166666667,-9.48499965667725
276829000,1486148357,24.899229000000002,60.023669999999996,25.9,3,2,4691590,0,212,30.6,49134,6080,6.5,426,120,1729.944,1622.3624723825799,263.2221631266848,1006.0300974117182,24.88125,60.022916666666696,-9.26299953460693
276829000,1486148479,24.899719,60.03811999999999,25.7,355,355,4691590,0,212,30.6,49134,6080,6.5,426,122,1746.1372,1607.09632176427,263.61304516376885,1523.9689533443247,24.872916666666697,60.0354166666667,-9.48499965667725
276829000,1486148963,24.8992,60.091919,21.9,3,3,4691590,0,212,30.6,49134,6080,6.5,426,120,1481.3039999999999,1399.69890986725,273.878541087196,1706.583938147043,24.86875,60.09375,-9.89200019836426
276829000,1486191584,24.902420000000003,60.03576999999999,24.2,348,348,4691590,0,212,30.6,49134,6080,6.8,445,182,2463.4792,2320.7575034608803,280.64151519366595,1644.9884056203985,24.872916666666697,60.0354166666667,-9.48499965667725
276829000,1486192222,24.900801,60.09923199999999,17.2,5,5,4691590,0,212,30.6,49134,6080,6.8,445,138,1367.5248,1327.9406488354,260.31558007767006,1789.1345755349885,24.86875,60.0979166666667,-9.97999954223633
276829000,1486235172,24.899079999999998,60.09151800000001,19.8,4,4,4691590,0,212,30.6,49134,6080,6.8,453,122,1373.2808,1323.3143739882198,274.3952285048705,1705.9029689516278,24.86875,60.09375,-9.89200019836426
276829000,1486277914,24.905069,60.025119999999994,25.7,355,358,4691590,0,212,30.6,49134,6080,6.4,475,183,2619.2058,2476.7693344172103,261.53852516045754,1350.6321513016173,24.88125,60.022916666666696,-9.26299953460693
276829000,1486299553,24.9035,60.025902,26.9,0,0,4691590,0,212,30.6,49134,6080,6.4,479,123,1836.9066,1740.54732912565,255.00201840910842,1284.4459737920886,24.88125,60.022916666666696,-9.26299953460693
276829000,1486300174,24.899321,60.0961,19.2,7,8,4691590,0,212,30.6,49134,6080,6.4,479,127,1390.0912,1367.52286931191,268.79950206221224,1712.8657518486725,24.86875,60.0979166666667,-9.97999954223633
276829000,1486407069,24.902679,60.023918,26.0,3,5,4691590,0,212,30.6,49134,6080,6.4,515,124,1794.0320000000002,1671.1665571623598,259.675321681416,1200.0897400751305,24.88125,60.022916666666696,-9.26299953460693
276829000,1486407195,24.902348999999997,60.039028,26.3,352,353,4691590,0,212,30.6,49134,6080,6.4,515,126,1842.5484,1680.3589706745802,263.23222154606447,1689.0992274021844,24.872916666666697,60.0354166666667,-9.48499965667725
276829000,1486450956,24.902479,60.031169999999996,25.6,352,355,4691590,0,212,30.6,49134,6080,6.5,538,186,2652.5088,2553.90706163893,257.18411890580387,1487.2409951863795,24.877083333333303,60.0270833333333,-9.09899997711182
276829000,1486451598,24.899349,60.096408999999994,17.4,4,7,4691590,0,212,30.6,49134,6080,6.5,538,138,1381.8216,1343.90443943205,268.6483229798294,1710.681951555479,24.86875,60.0979166666667,-9.97999954223633
276829000,1486580103,24.901320000000002,60.040192000000005,26.7,347,348,4691590,0,212,30.6,49134,6080,6.7,589,122,1809.3332,1659.7372037171601,263.4362766622354,1670.1070623252376,24.872916666666697,60.0354166666667,-9.48499965667725
276829000,1486580593,24.89975,60.096230000000006,20.6,5,5,4691590,0,212,30.6,49134,6080,6.7,589,122,1423.8376,1395.4708977904502,271.2315771554633,1734.9370350485558,24.86875,60.0979166666667,-9.97999954223633
276829000,1486623081,24.911671,60.02285,25.5,359,359,4691590,0,212,30.6,49134,6080,6.7,611,129,1832.961,1707.7640387241001,271.26404966109027,1696.3356699324213,24.88125,60.022916666666696,-9.26299953460693
276829000,1486623202,24.90662,60.03728100000001,26.3,342,341,4691590,0,212,30.6,49134,6080,6.7,611,121,1769.4314,1629.0978898902,282.7051581093947,1890.0308060028958,24.872916666666697,60.0354166666667,-9.48499965667725
276829000,1486645417,24.900029999999997,60.09763,16.4,6,6,4691590,0,212,30.6,49134,6080,6.7,617,130,1234.376,1218.4488369718301,265.0649717981216,1740.5642661751579,24.86875,60.0979166666667,-9.97999954223633
276829000,1486666343,24.90353,60.022812,26.0,4,5,4691590,0,212,30.6,49134,6080,6.7,621,122,1765.096,1639.2011455349802,265.5474280617824,1242.4207984159725,24.88125,60.022916666666696,-9.26299953460693
276829000,1486666465,24.902420000000003,60.037231000000006,26.0,349,350,4691590,0,212,30.6,49134,6080,6.7,621,122,1765.096,1604.60372658839,273.00511690084653,1656.8579914939387,24.872916666666697,60.0354166666667,-9.48499965667725
276829000,1486709730,24.902519,60.04335,25.5,338,339,4691590,0,212,30.6,49134,6080,6.7,642,124,1761.9160000000002,1613.44037241251,262.8334312778475,1871.6919241575101,24.872916666666697,60.0354166666667,-9.48499965667725
276829000,1486731250,24.906670000000002,60.024269,25.4,0,1,4691590,0,212,30.6,49134,6080,6.7,647,123,1741.3356,1639.09754727838,262.94346606361023,1425.4111486937795,24.88125,60.022916666666696,-9.26299953460693
276829000,1486731371,24.90287,60.038971,26.7,344,344,4691590,0,212,30.6,49134,6080,6.7,647,121,1794.5026,1648.45875547107,272.6693990842421,1715.8410537237428,24.872916666666697,60.0354166666667,-9.48499965667725
276829000,1486731861,24.8986,60.09301,17.9,7,8,4691590,0,212,30.6,49134,6080,6.7,647,122,1253.2084,1252.8473991279302,264.85468163354176,1662.9788295069666,24.86875,60.09375,-9.89200019836426
276829000,1486752802,24.90527,60.023251,26.8,3,4,4691590,0,212,30.6,49134,6080,6.7,652,124,1845.4176,1733.0016903586,264.41738614686653,1339.900045982476,24.88125,60.022916666666696,-9.26299953460693
276829000,1486752928,24.903151,60.038879,27.0,348,347,4691590,0,212,30.6,49134,6080,6.7,652,126,1888.236,1741.84319267242,270.11988214654093,1728.7705188439256,24.872916666666697,60.0354166666667,-9.48499965667725
276829000,1486753434,24.89765,60.089748,17.6,6,7,4691590,0,212,30.6,49134,6080,6.7,652,188,1901.9584,1850.65213681192,278.50914998177234,1668.82072751438,24.86875,60.09375,-9.89200019836426
276829000,1486753561,24.89958,60.099608999999994,16.6,7,7,4691590,0,212,30.6,49134,6080,6.7,652,127,1219.0476,1101.7690918283502,256.74004742962086,1725.516387151125,24.86875,60.0979166666667,-9.97999954223633
276829000,1486795953,24.911831,60.025452,26.1,355,355,4691590,0,212,30.6,49134,6080,6.7,674,124,1800.4552,1675.6787579565398,265.6074056481118,1728.4118422846668,24.88125,60.022916666666696,-9.26299953460693
276829000,1486796138,24.901999999999997,60.047001,25.5,335,335,4691590,0,212,30.6,49134,6080,6.7,674,185,2628.665,2457.70698369635,256.4827833838802,2071.9216162547223,24.872916666666697,60.0354166666667,-9.48499965667725
276829000,1486796648,24.8986,60.094131000000004,18.0,9,9,4691590,0,212,30.6,49134,6080,6.7,674,138,1424.7120000000002,1315.50317541926,259.5489162861861,1661.4479860535691,24.86875,60.09375,-9.89200019836426
276829000,1486817638,24.90588,60.023701,25.9,3,2,4691590,0,212,30.6,49134,6080,6.7,679,193,2782.3266,2680.9147734388603,264.3700093665499,1376.164349302025,24.88125,60.022916666666696,-9.26299953460693
276829000,1486817768,24.903351,60.039370999999996,26.4,346,345,4691590,0,212,30.6,49134,6080,6.7,679,130,1907.776,1748.1854896324699,270.4541264459477,1752.5965239398317,24.872916666666697,60.0354166666667,-9.48499965667725
276829000,1486839744,24.897070000000003,60.089748,18.6,4,3,4691590,0,212,30.6,49134,6080,6.4,685,126,1339.9848,1289.0265536629902,282.8105762049123,1637.7423791457295,24.86875,60.09375,-9.89200019836426
276829000,1486882508,24.903151,60.046989,26.8,328,327,4691590,0,212,30.6,49134,6080,6.5,707,122,1815.6528,1667.3211895113598,265.59066667881666,2121.6656237814977,24.872916666666697,60.0354166666667,-9.48499965667725
276829000,1486882883,24.897369,60.0881,21.5,10,9,4691590,0,212,30.6,49134,6080,6.5,707,126,1529.2620000000002,1473.5140363819,282.57975665536196,1712.4515577181,24.86875,60.09375,-9.89200019836426
276829000,1486883008,24.900881,60.099571,18.5,7,6,4691590,0,212,30.6,49134,6080,6.5,707,125,1322.875,1290.37154852514,258.12696061983104,1797.0415417804693,24.86875,60.0979166666667,-9.97999954223633
276829000,1486903946,24.905720000000002,60.023318999999994,24.4,3,1,4691590,0,212,30.6,49134,6080,6.9,712,125,1704.9,1605.7291546824401,267.12902100586626,1365.2093795288251,24.88125,60.022916666666696,-9.26299953460693
276829000,1486904079,24.903629000000002,60.038212,24.7,347,345,4691590,0,212,30.6,49134,6080,6.9,712,133,1834.6818,1660.19643244111,274.7022406246566,1739.9430770167153,24.872916666666697,60.0354166666667,-9.48499965667725
276829000,1486904638,24.89892,60.09452099999999,17.7,8,6,4691590,0,212,30.6,49134,6080,6.9,712,187,1901.5282,1856.4960560056197,261.0837731789253,1680.8974108958837,24.86875,60.09375,-9.89200019836426
276829000,1486925919,24.905251,60.02615,25.8,1,359,4691590,0,212,30.6,49134,6080,6.9,718,186,2671.7784,2573.79522916272,255.94460086633114,1385.9003216237156,24.88125,60.022916666666696,-9.26299953460693
276829000,1486926471,24.897181,60.088501,20.4,8,6,4691590,0,212,30.6,49134,6080,6.9,718,184,2128.3648,2104.46661548247,284.2989484312758,1686.7118439748326,24.86875,60.09375,-9.89200019836426
276829000,1486990472,24.906879,60.02360899999999,25.8,2,1,4691590,0,212,30.6,49134,6080,6.8,745,124,1781.1856,1737.2092903926,265.92158418592294,1431.1742499511256,24.88125,60.022916666666696,-9.26299953460693
276829000,1487055451,24.914820000000002,60.02483,26.6,347,347,4691590,0,212,30.6,49134,6080,6.8,774,125,1847.35,1709.87584557806,276.5176058914873,1883.955192223844,24.88125,60.022916666666696,-9.26299953460693
276829000,1487141611,24.91263,60.026051,26.7,356,356,4691590,0,212,30.6,49134,6080,6.8,818,128,1898.3168,1774.88225634036,262.7268810538816,1784.2166564044887,24.88125,60.022916666666696,-9.26299953460693
276829000,1487142177,24.897779,60.090328,21.0,6,7,4691590,0,212,30.6,49134,6080,6.8,818,188,2233.064,2224.22349643975,276.2928765885514,1659.7006411632667,24.86875,60.09375,-9.89200019836426
276829000,1487185207,24.902981,60.024651,25.5,0,359,4691590,0,212,30.6,49134,6080,6.7,827,124,1761.9160000000002,1676.36990198582,261.9490296713497,1227.0290827826518,24.88125,60.022916666666696,-9.26299953460693
276829000,1487185331,24.900471,60.03871899999999,24.4,351,351,4691590,0,212,30.6,49134,6080,6.7,827,124,1691.2608,1570.58747621022,265.5399158940816,1579.266922208276,24.872916666666697,60.0354166666667,-9.48499965667725
276829000,1487228402,24.91048,60.022991000000005,25.7,349,348,4691590,0,212,30.6,49134,6080,6.7,848,126,1803.3876,1706.6695810306398,281.7215378613846,1629.9250785932388,24.88125,60.022916666666696,-9.26299953460693
276829000,1487228528,24.904131,60.038070999999995,26.6,346,345,4691590,0,212,30.6,49134,6080,6.7,848,126,1862.1288,1713.60924808491,275.3668768708776,1764.7821552081896,24.872916666666697,60.0354166666667,-9.48499965667725
276829000,1487229032,24.899651000000002,60.092681999999996,20.8,4,3,4691590,0,212,30.6,49134,6080,6.7,848,128,1507.1232,1440.87187900552,270.9721476854983,1723.5351685903022,24.86875,60.09375,-9.89200019836426
276829000,1487249949,24.904051000000003,60.023788,25.8,2,1,4691590,0,212,30.6,49134,6080,6.7,852,126,1809.9144,1682.44589379326,264.6435325650746,1275.099857533174,24.88125,60.022916666666696,-9.26299953460693
276829000,1487250087,24.90213,60.039809999999996,24.7,348,347,4691590,0,212,30.6,49134,6080,6.7,852,138,1903.6548,1784.86754440552,266.28119328881036,1700.2334134846915,24.872916666666697,60.0354166666667,-9.48499965667725
