MMSI,TIMESTAMP_UTC,LON,LAT,SPEED_KNOTSx10,COURSE,HEADING,SHIP_ID,STATUS,LENGTH,WIDTH,GRT,DWT,DRAUGHTx10,V15,V16,V17,V18,angle,min_dist,depth_lon,depth_lat,depth_dep
276829000,1485783267,24.90748,60.129631,15.8,356,354,4691590,0,212,30.6,49134,6080,6.6,287,126,1157.2344,1071.1587612055698,336.24064308276377,48.89774226875895,24.90791667,60.12925,-0.6990000009999999
276829000,1485783399,24.90597,60.137969999999996,11.7,3,2,4691590,0,212,30.6,49134,6080,6.6,287,132,931.9992,931.0740382717951,18.854661371196947,294.48856388137415,24.90408333,60.1355,-8.187999725
276829000,1485955010,24.906151,60.13763,13.1,0,359,4691590,0,212,30.6,49134,6080,7.0,363,198,1541.5884,1541.0393639045499,26.83402697541419,263.6656124158262,24.90408333,60.1355,-8.187999725
276829000,1486106413,24.90682,60.140751,12.3,13,12,4691590,0,212,30.6,49134,6080,6.5,418,132,973.0248,960.746519081324,2.569290777588419,604.4789230531877,24.90408333,60.1355,-8.187999725
276829000,1486192816,24.907049,60.141009999999994,11.1,13,12,4691590,0,212,30.6,49134,6080,6.8,445,132,890.9736,880.587534739272,3.024909784101725,635.6284257094824,24.90408333,60.1355,-8.187999725
276829000,1486214379,24.906281,60.138329000000006,13.4,6,6,4691590,0,212,30.6,49134,6080,6.8,449,138,1095.8856,1045.8825038839698,15.178193001135096,338.02361834119023,24.90408333,60.1355,-8.187999725
276829000,1486235810,24.90633,60.139229,13.3,5,5,4691590,0,212,30.6,49134,6080,6.8,453,187,1475.3178,1464.2482913487602,11.72415119655076,433.81714510050085,24.90408333,60.1355,-8.187999725
276829000,1486452186,24.905898999999998,60.139549,13.7,1,1,4691590,0,212,30.6,49134,6080,6.5,538,132,1068.7512,1036.45054158912,11.606086382458516,462.26268557452556,24.90408333,60.1355,-8.187999725
276829000,1486732567,24.907470999999997,60.142669999999995,9.2,16,17,4691590,0,212,30.6,49134,6080,6.7,647,127,732.2312,717.5211842596409,356.257732495302,820.7214593406077,24.90408333,60.1355,-8.187999725
276829000,1486797278,24.906179,60.138401,9.6,4,1,4691590,0,212,30.6,49134,6080,6.7,674,131,782.4368,770.727542333266,18.813310116191005,343.55328483949745,24.90408333,60.1355,-8.187999725
276829000,1486883615,24.907101,60.141521,9.0,13,11,4691590,0,212,30.6,49134,6080,6.5,707,132,747.3839999999999,717.5946177710761,3.0329038737960303,691.4670699254376,24.90408333,60.1355,-8.187999725
276829000,1486927171,24.9069,60.14135,9.9,15,13,4691590,0,212,30.6,49134,6080,6.9,718,126,772.1532,755.4016570545219,0.5017423037499213,670.3042804736829,24.90408333,60.1355,-8.187999725
276829000,1487142843,24.90597,60.140099,9.9,10,9,4691590,0,212,30.6,49134,6080,6.8,818,138,845.6916,831.215309325125,2.5625139274819713,523.0110367271101,24.90408333,60.1355,-8.187999725
276829000,1487272826,24.90542,60.137299,14.6,2,1,4691590,0,212,30.6,49134,6080,6.7,856,138,1181.6664,1091.89370644678,19.333568995596682,213.75569903878872,24.90408333,60.1355,-8.187999725
276829000,1487316095,24.9065,60.13868000000001,10.7,359,357,4691590,0,212,30.6,49134,6080,6.7,878,131,857.0806,815.468038621122,23.757465693515655,378.8953937421569,24.90408333,60.1355,-8.187999725
276829000,1487424091,24.906321,60.140129,11.8,10,6,4691590,0,212,30.6,49134,6080,6.6,913,144,1024.1856,1013.23409833996,7.554110154514563,530.5157956169542,24.90408333,60.1355,-8.187999725
276829000,1487661454,24.90575,60.137519999999995,14.9,1,1,4691590,0,212,30.6,49134,6080,6.9,1001,132,1150.8024,1053.15337863848,21.367667319156457,243.36956921305926,24.90408333,60.1355,-8.187999725
276829000,1487747767,24.90547,60.137871,12.1,3,3,4691590,0,212,30.6,49134,6080,6.9,1044,121,879.4038,839.5289080731669,13.261390720534457,275.1733723638795,24.90408333,60.1355,-8.187999725
276829000,1487747897,24.909519,60.143409999999996,7.9,28,34,4691590,0,212,30.6,49134,6080,6.9,1044,130,661.9860000000001,655.471282051433,344.9150979174683,931.6092656276514,24.90408333,60.1355,-8.187999725
276829000,1488006987,24.90638,60.137661,13.6,1,359,4691590,0,212,30.6,49134,6080,6.7,1131,133,1069.9584,1030.63707483282,28.92614121960321,272.50141298303464,24.90408333,60.1355,-8.187999725
276829000,1488287646,24.905701,60.13879,11.2,8,9,4691590,0,212,30.6,49134,6080,6.5,1228,133,904.6128,814.67708996949,4.778334919431895,377.41554027111795,24.90408333,60.1355,-8.187999725
276829000,1488396011,24.90597,60.137772,13.6,3,3,4691590,0,212,30.6,49134,6080,6.5,1266,203,1633.0944,1597.30223863107,19.497296979555408,273.9865184416168,24.90408333,60.1355,-8.187999725
276829000,1488482430,24.906031,60.13945,13.0,9,8,4691590,0,212,30.6,49134,6080,6.5,1294,132,1020.888,1007.96698988164,5.815466545731232,453.2005034582031,24.90408333,60.1355,-8.187999725
276829000,1488633639,24.905451,60.13681,14.3,2,2,4691590,0,212,30.6,49134,6080,6.5,1347,132,1109.7768,1037.5463597000098,25.50675663226576,164.5559065957594,24.90408333,60.1355,-8.187999725
276829000,1488655157,24.90502,60.131168,15.4,0,0,4691590,0,212,30.6,49134,6080,6.5,1351,144,1292.7168,1172.13016549975,21.803742735601915,140.15928531562983,24.90408333,60.13,-8.187999725
276829000,1489130004,24.902901,60.141121,12.8,353,353,4691590,0,212,30.6,49134,6080,6.6,1529,143,1091.1472,1081.4656318733698,1.0117618938899682,629.6983045777768,24.90408333,60.1355,-8.187999725
276829000,1489302857,24.906321,60.14159,8.5,13,12,4691590,0,212,30.6,49134,6080,6.5,1589,131,707.793,657.514530219226,358.3834028559945,689.813839448945,24.90408333,60.1355,-8.187999725
276829000,1489583889,24.905720000000002,60.13847,13.1,5,4,4691590,0,212,30.6,49134,6080,6.7,1702,216,1681.7328,1596.0514003849403,11.367571168075152,343.1724673827432,24.90408333,60.1355,-8.187999725
276829000,1489605501,24.906771,60.141121,13.7,17,15,4691590,0,212,30.6,49134,6080,6.7,1706,140,1133.524,1092.6143240617698,358.4117316786633,643.822773200831,24.90408333,60.1355,-8.187999725
276829000,1489648819,24.90728,60.141392,11.3,18,16,4691590,0,212,30.6,49134,6080,6.8,1727,127,870.3818,849.171789828588,359.139546721683,680.0625447751061,24.90408333,60.1355,-8.187999725
276829000,1489778302,24.9058,60.13895,14.8,6,5,4691590,0,212,30.6,49134,6080,6.5,1764,144,1247.9616,1150.1201849683698,8.936986721387573,396.0406257549738,24.90408333,60.1355,-8.187999725
276829000,1490296632,24.906651,60.14012099999999,11.9,12,10,4691590,0,212,30.6,49134,6080,6.9,1956,126,902.6892,860.064002856781,5.488550022157707,534.2517328166982,24.90408333,60.1355,-8.187999725
276829000,1491023978,24.90567,60.137618999999994,14.4,4,4,4691590,0,212,30.6,49134,6080,6.9,2235,132,1116.6144,1022.0785389101801,16.478344002124036,252.01481166875007,24.90408333,60.1355,-8.187999725
276829000,1491045599,24.90633,60.138270999999996,14.2,3,4,4691590,0,212,30.6,49134,6080,6.9,2239,204,1704.5424,1635.98033761953,18.0167274389492,333.0174929656435,24.90408333,60.1355,-8.187999725
276829000,1491067153,24.906969,60.141392,11.6,17,16,4691590,0,212,30.6,49134,6080,6.9,2243,133,932.1704,906.040299416405,357.72516268996935,675.754709957263,24.90408333,60.1355,-8.187999725
276829000,1491995732,24.906481,60.140202,9.5,11,11,4691590,0,212,30.6,49134,6080,6.6,2588,137,811.177,801.039175058705,3.2681274931685866,540.5482967658038,24.90408333,60.1355,-8.187999725
276829000,1492168513,24.905849,60.13879,10.2,4,4,4691590,0,212,30.6,49134,6080,6.4,2650,132,829.4352,818.426762474117,10.984423181563699,379.45844068380313,24.90408333,60.1355,-8.187999725
